"Replicate","ispinesib","ibrutinib","Synergy","Inhibition","background"
"R1","0","0",100,100,122.956184
"R1","9.7656","0",41,41,40.77562
"R1","39.0626","0",40,40,39.754314
"R1","156.25","0",39,39,39.23745
"R1","625","0",39,39,39.37262
"R1","2500","0",46,46,45.790634
"R1","0","0.1954",100,100,103.76006
"R1","9.7656","0.1954",36,36,36.374866
"R1","39.0626","0.1954",37,37,36.871628
"R1","156.25","0.1954",34,34,33.51744
"R1","625","0.1954",38,38,38.052074
"R1","2500","0.1954",38,38,38.043076
"R1","0","0.7812",100,100,118.13851
"R1","9.7656","0.7812",28,28,28.036972
"R1","39.0626","0.7812",29,29,29.103006
"R1","156.25","0.7812",26,26,25.934008
"R1","625","0.7812",23,23,23.261131
"R1","2500","0.7812",25,25,24.503885
"R1","0","3.125",59,59,58.82688
"R1","9.7656","3.125",12,12,11.760282
"R1","39.0626","3.125",14,14,13.511189
"R1","156.25","3.125",12,12,12.425198
"R1","625","3.125",14,14,14.096026
"R1","2500","3.125",15,15,15.089589
"R1","0","12.5",47,47,46.666996
"R1","9.7656","12.5",15,15,14.99542
"R1","39.0626","12.5",7,7,7.064885
"R1","156.25","12.5",8,8,7.612191
"R1","625","12.5",7,7,6.551686
"R1","2500","12.5",7,7,6.831317
"R1","0","50",29,29,28.695145
"R1","9.7656","50",9,9,8.948099
"R1","39.0626","50",6,6,6.276571
"R1","156.25","50",6,6,5.724235
"R1","625","50",6,6,5.933393
"R1","2500","50",8,8,7.802637
